,buy_mean,buy_pc01,buy_pc02,buy_pc03,buy_pc04,buy_pc05,buy_pc06,sell_mean,sell_pc01,sell_pc02,sell_pc03,sell_pc04,sell_pc05,sell_pc06
wkSMA[0][0],3.1338893682791515e-15,-0.09402038398604486,-0.0075547221441875445,-0.13682416553395876,0.12743297991667418,-0.0923065623089344,0.11934757601299203,-1.3043390730100423e-15,-0.09555654921254163,-0.023079274654454064,-0.1128470240012543,-0.12767807887737667,-0.04245149327970588,0.11473797321246332
wkRSI[0][0],-9.168293364646454e-16,0.031644753905320164,-0.017195734768009233,0.15000951370582255,-0.13265298371993514,-0.13132920262949296,-0.11797279391375219,-5.553505404991831e-15,-0.02071145517811743,0.024165361183298886,-0.16929010657118707,-0.0761180699294671,0.18295167686462122,-0.04052656747723928
wkBB[0][0],1.3335699439485751e-15,0.10497857440086465,0.011446022972918695,0.12989992739421294,-0.1289726159191164,0.11869936118784974,-0.1110040203450513,1.916251230718457e-15,0.10467292796916576,0.023692267915265918,0.11043129199616143,0.13573704296587236,0.04798493604299469,-0.11384107703762758
wkATR[0][0],5.726015946829195e-15,0.11701776924960897,0.021213126042039947,0.052388635971626824,-0.08017077813900358,0.17443315544594037,-0.09354758086332841,3.760039179603023e-15,0.11462712336696941,0.04841112316500844,0.056486613002814615,0.11188832614850944,0.08900931441843574,-0.15833360981403036
wkSMA[0][1],-7.501330934710735e-16,-0.11546588148078937,-0.006594211433292443,-0.1432386689511225,0.12868309569863634,-0.089744099874519,0.09528017252089623,-2.1255896004608095e-15,-0.11285914247320142,-0.02217450609674283,-0.1376789205810817,-0.13745187892274235,-0.02258443377776487,0.1015950624831508
wkRSI[0][1],-9.626708032878778e-16,0.04170238834893838,-0.04484847904312333,0.18800156610976132,-0.10769916545109055,-0.1988149050742854,-0.04509616850342787,-1.0839299240986231e-15,-0.029920634557103587,0.04507823317925344,-0.21374798473118206,-0.05360035848886045,0.23187045141215107,-0.0914394850395854
wkBB[0][1],6.667849719742876e-16,0.12415063999703707,0.00988506833365394,0.12257913670906588,-0.10055779194464878,0.10636255308966994,-0.047334437035281444,-9.0176528504398e-16,0.11722317991266519,0.0234010254663473,0.12588748232343164,0.12545616104142648,0.040962163526341494,-0.09770197372614936
wkATR[0][1],3.834013588852153e-15,0.13068501402365756,0.028292525842608454,0.019048201097511545,-0.04453083846362782,0.1917257833874953,-0.024425843390574898,8.099784613877176e-15,0.12476327106335523,0.05874496543578342,0.032255907283968016,0.08785059995414894,0.1309027221294752,-0.13950227453444008
wkSMA[0][2],-6.667849719742876e-16,-0.13396670435382965,0.0015675562240340386,-0.1263639935720174,0.0663184660980378,-0.03441354418113501,-0.034039926115651375,7.35904884401962e-15,-0.12968876386204936,-0.011344180726056984,-0.13029838239032251,-0.0666378843538197,-0.022317160544188776,-0.00782596133876929
wkRSI[0][2],-5.2759360907465506e-15,0.046205750586983535,-0.10972086237934955,0.14730372775089248,0.09722207570879522,-0.2008250975853215,0.044563869619173836,2.822042253642098e-15,-0.049823570559179985,0.10678880412635289,-0.15762775677627164,0.1333000693433369,0.10532576010005214,-0.11023334153483601
wkBB[0][2],2.7838272579926506e-15,0.13470632933329077,0.0035987924124652767,0.08314757749258794,-0.01619635656049033,0.0359086586450168,0.10915882009991944,-1.4331626851591822e-15,0.1286110611320263,0.01254065380859016,0.08857380840278392,0.02248703262390627,0.07970939395814944,0.041170904123834506
wkATR[0][2],1.3335699439485751e-15,0.14304100064541497,0.02989307653948812,-0.024951226199627197,0.0010891227904601328,0.11286285768407231,0.04682570232234666,2.4798545338709446e-15,0.13688299390850975,0.051570139218337356,-0.02013732611728464,0.010118396371143363,0.12847577742078908,-0.03465556304841743
wkSMA[0][3],1.950346043024791e-15,-0.1294190106670957,0.0558777602465419,-0.034442674371384936,-0.1309147074523451,0.05680797123391593,-0.07711061871297166,-1.1272066063049748e-15,-0.12744960947290382,0.04517672599048251,-0.028324476390996063,0.14491196441310747,-0.046866681768306266,-0.0877864178451703
wkRSI[0][3],7.64719014733011e-15,0.017316065298091265,-0.20588388906002386,0.005512828566041245,0.1431117713540881,0.026822846289278588,-0.12284630753364865,1.1896055434397144e-15,-0.05554122544045389,0.19733761645231948,0.006457068527777919,0.14481226675542672,0.009578679935442872,0.11232101978071211
wkBB[0][3],-7.167938448723591e-16,0.12393229185083729,-0.019987042525931947,-0.038024817665200175,0.11129346314860486,-0.040990117264438866,0.14715694651539382,3.703678849287774e-16,0.1183219322266607,-0.002494923228955733,-0.037638718486897656,-0.1153431336475118,0.07862623740774403,0.12469779736565857
