,buy_mean,buy_std,buy_pc01,buy_pc02,buy_pc03,buy_pc04,buy_pc05,buy_pc06,buy_pc07,buy_pc08,buy_pc09,buy_pc10,buy_pc11,buy_pc12,buy_pc13,buy_pc14,buy_pc15,buy_pc16,buy_pc17,buy_pc18,buy_pc19,buy_pc20,sell_mean,sell_std,sell_pc01,sell_pc02,sell_pc03,sell_pc04,sell_pc05,sell_pc06,sell_pc07,sell_pc08,sell_pc09,sell_pc10,sell_pc11,sell_pc12,sell_pc13,sell_pc14,sell_pc15,sell_pc16,sell_pc17,sell_pc18,sell_pc19,sell_pc20
wkSMA[0][0],-0.001359243681905158,0.00116947101396536,-0.09537990458278837,-0.004885340791864529,0.07010805775479527,-0.16844770026420164,0.07176017341368364,0.1262920221656236,0.032814484912100775,-0.18944317660202867,0.12191612461127158,-0.10418231233130511,0.13356261980258613,-0.1172466485656245,0.14658635643440646,-0.20968569241337723,0.025814894967657823,-0.006481749742359821,-0.21229866225521266,-0.05460339996484114,0.07277452392276187,0.05633060907743596,-0.001359243681905158,0.00116947101396536,-0.09537990458278837,-0.004885340791864529,0.07010805775479527,-0.16844770026420164,0.07176017341368364,0.1262920221656236,0.032814484912100775,-0.18944317660202867,0.12191612461127158,-0.10418231233130511,0.13356261980258613,-0.1172466485656245,0.14658635643440646,-0.20968569241337723,0.025814894967657823,-0.006481749742359821,-0.21229866225521266,-0.05460339996484114,0.07277452392276187,0.05633060907743596
wkRSI[0][0],48.97799802534712,27.449951479668098,-0.016033143767124846,-0.21862584953790243,0.017199324411825742,0.07348444420809887,0.13935660726422755,-0.013039868471899042,-0.09517291517901688,0.028080242869686134,0.03786852316375915,0.01981717644643979,0.08265755840205873,0.07893394228001174,-0.008812119397110482,-0.026765967634670693,-0.028091155133589837,-0.08070564977000298,-0.018230477949461196,0.11434500605178367,-0.05012378146405973,-0.01640190646359867,48.97799802534712,27.449951479668098,-0.016033143767124846,-0.21862584953790243,0.017199324411825742,0.07348444420809887,0.13935660726422755,-0.013039868471899042,-0.09517291517901688,0.028080242869686134,0.03786852316375915,0.01981717644643979,0.08265755840205873,0.07893394228001174,-0.008812119397110482,-0.026765967634670693,-0.028091155133589837,-0.08070564977000298,-0.018230477949461196,0.11434500605178367,-0.05012378146405973,-0.01640190646359867
wkBB[0][0],0.0006317029915260655,0.0005065498641457867,0.10610815527786094,0.014357785915615647,-0.07127099473562115,0.1650900557371074,-0.07362900895849642,-0.13219277851782335,-0.013588929006999675,0.15290137088910707,-0.12302300426908395,0.09895349208923386,-0.09664990005856461,0.09533670261052622,-0.10514099996061221,0.14025619359224586,0.028121850209454787,-0.018915558445376148,0.0830947416305411,0.020714455773409413,-0.0015052758018185301,-0.05816930294319035,0.0006317029915260655,0.0005065498641457867,0.10610815527786094,0.014357785915615647,-0.07127099473562115,0.1650900557371074,-0.07362900895849642,-0.13219277851782335,-0.013588929006999675,0.15290137088910707,-0.12302300426908395,0.09895349208923386,-0.09664990005856461,0.09533670261052622,-0.10514099996061221,0.14025619359224586,0.028121850209454787,-0.018915558445376148,0.0830947416305411,0.020714455773409413,-0.0015052758018185301,-0.05816930294319035
wkATR[0][0],0.05623265129683002,0.03473848114442176,0.11943805378904097,0.008842967196306886,-0.0688946099543613,0.09629540484429842,-0.04922080643872543,-0.14125439277863813,0.03250196919287065,-0.03118398141474361,-0.16007206645264974,0.09177969091485073,0.04880968214237733,0.049508135080295015,-0.1353032385764639,-0.025740813243408215,0.20481485970487362,-0.10182672314617966,-0.012182786350818358,-0.08153402855678743,-0.04788608322071108,-0.14399151558790424,0.05623265129683002,0.03473848114442176,0.11943805378904097,0.008842967196306886,-0.0688946099543613,0.09629540484429842,-0.04922080643872543,-0.14125439277863813,0.03250196919287065,-0.03118398141474361,-0.16007206645264974,0.09177969091485073,0.04880968214237733,0.049508135080295015,-0.1353032385764639,-0.025740813243408215,0.20481485970487362,-0.10182672314617966,-0.012182786350818358,-0.08153402855678743,-0.04788608322071108,-0.14399151558790424
wkSMA[0][1],-0.00181823883344453,0.0013607099707824376,-0.11451351407911316,-0.006638810405442368,0.07356191248491487,-0.18030255091170483,0.08032018754191317,0.11932421244126865,0.01870074495432902,-0.15388911334912309,0.07528253484762183,-0.05666242819269631,0.07633281954351505,-0.05526145462669927,0.03268918096650083,-0.08404071668801558,0.05976252094380908,-0.02787435843873556,0.022636182386704336,-0.029731042126718416,-0.04999101511933921,-0.03349082023938574,-0.00181823883344453,0.0013607099707824376,-0.11451351407911316,-0.006638810405442368,0.07356191248491487,-0.18030255091170483,0.08032018754191317,0.11932421244126865,0.01870074495432902,-0.15388911334912309,0.07528253484762183,-0.05666242819269631,0.07633281954351505,-0.05526145462669927,0.03268918096650083,-0.08404071668801558,0.05976252094380908,-0.02787435843873556,0.022636182386704336,-0.029731042126718416,-0.04999101511933921,-0.03349082023938574
wkRSI[0][1],48.966094752395335,24.54069705719114,-0.015988786416713325,-0.22208549441172923,0.018285036338701408,0.07397592079741845,0.13897816766391208,-0.010019294127738627,-0.09529409487286852,0.025584509463280582,0.03766264320499667,0.0231864500434307,0.0779586636767066,0.08333194311516726,-0.011448637354286875,-0.01724368760370258,-0.03172985268643264,-0.0803840002798552,-0.011673977999672475,0.11943932914616809,-0.04830183259831903,-0.013061735758518411,48.966094752395335,24.54069705719114,-0.015988786416713325,-0.22208549441172923,0.018285036338701408,0.07397592079741845,0.13897816766391208,-0.010019294127738627,-0.09529409487286852,0.025584509463280582,0.03766264320499667,0.0231864500434307,0.0779586636767066,0.08333194311516726,-0.011448637354286875,-0.01724368760370258,-0.03172985268643264,-0.0803840002798552,-0.011673977999672475,0.11943932914616809,-0.04830183259831903,-0.013061735758518411
wkBB[0][1],0.0008521754914074866,0.0006195629758338973,0.1216175027660105,0.011920085004724397,-0.06901167257799541,0.16378740711974282,-0.07527284828391059,-0.09469243288564838,0.003644878113230458,0.07788000778124457,-0.03399592244010651,0.016259331125461164,0.009544565132588735,-0.009278723151671896,0.06984797761695859,-0.06122648967264884,-0.011002106146231715,0.0039485889204781445,-0.2071519867646113,-0.020904040549190463,0.14138006826905603,0.06935780080281405,0.0008521754914074866,0.0006195629758338973,0.1216175027660105,0.011920085004724397,-0.06901167257799541,0.16378740711974282,-0.07527284828391059,-0.09469243288564838,0.003644878113230458,0.07788000778124457,-0.03399592244010651,0.016259331125461164,0.009544565132588735,-0.009278723151671896,0.06984797761695859,-0.06122648967264884,-0.011002106146231715,0.0039485889204781445,-0.2071519867646113,-0.020904040549190463,0.14138006826905603,0.06935780080281405
wkATR[0][1],0.08593674351585022,0.04818743628694392,0.132378394311873,0.0027981677015304824,-0.06594373532448027,0.07139119088140083,-0.03112393899340794,-0.09621987092077124,0.0553455329253053,-0.11619813563754204,-0.10258591236746407,0.0781099602680607,0.12380542351651543,-0.0005101911041730289,-0.06158980943859049,-0.1202798690264052,0.21503629895028067,-0.10056037977514799,-0.04199565035216894,-0.06435473714008304,-0.04223480588324294,-0.08098980683925391,0.08593674351585022,0.04818743628694392,0.132378394311873,0.0027981677015304824,-0.06594373532448027,0.07139119088140083,-0.03112393899340794,-0.09621987092077124,0.0553455329253053,-0.11619813563754204,-0.10258591236746407,0.0781099602680607,0.12380542351651543,-0.0005101911041730289,-0.06158980943859049,-0.1202798690264052,0.21503629895028067,-0.10056037977514799,-0.04199565035216894,-0.06435473714008304,-0.04223480588324294,-0.08098980683925391
wkSMA[0][2],-0.0024127163963141643,0.0016507279423523538,-0.1314634374395902,-0.0031588547043666765,0.05050395252824846,-0.1547579216212112,0.062054430870396304,0.01082926342887242,0.02465535015987578,-0.010952573025515604,-0.1047026395930016,0.08559741988048791,-0.0007046714714136713,0.047124669303773625,-0.08384663271197113,-0.00378684030780808,0.12597290567523356,-0.060303195801563,-0.0768824928764839,-0.023998718662231647,0.05556946502153458,-0.009538293914690113,-0.0024127163963141643,0.0016507279423523538,-0.1314634374395902,-0.0031588547043666765,0.05050395252824846,-0.1547579216212112,0.062054430870396304,0.01082926342887242,0.02465535015987578,-0.010952573025515604,-0.1047026395930016,0.08559741988048791,-0.0007046714714136713,0.047124669303773625,-0.08384663271197113,-0.00378684030780808,0.12597290567523356,-0.060303195801563,-0.0768824928764839,-0.023998718662231647,0.05556946502153458,-0.009538293914690113
wkRSI[0][2],49.017486333591684,18.728328791057017,-0.017769734827962912,-0.22921053778552225,0.015338720158378599,0.07299550138840066,0.12586346491647477,-0.011529047067343224,-0.06921831679801622,0.021636402226608377,0.02366162781768724,0.02003672696895394,0.045149736502828136,0.05199594596491213,0.006813378206032082,-0.01246608100416381,-0.010257234655621544,-0.019166279326589826,-0.016126763753119562,0.01517173402971644,0.003354178195175923,-0.0020544712879240114,49.017486333591684,18.728328791057017,-0.017769734827962912,-0.22921053778552225,0.015338720158378599,0.07299550138840066,0.12586346491647477,-0.011529047067343224,-0.06921831679801622,0.021636402226608377,0.02366162781768724,0.02003672696895394,0.045149736502828136,0.05199594596491213,0.006813378206032082,-0.01246608100416381,-0.010257234655621544,-0.019166279326589826,-0.016126763753119562,0.01517173402971644,0.003354178195175923,-0.0020544712879240114
